ClientEmail,FirstName,LastName,CreatedOn,Reviewed,Approved,Country_code,Status
michael.simpson@hotmail.com,Michael,Simpson,2025-04-19,true,false,ES,
thomas.hamilton@gmail.com,Thomas,Hamilton,2024-09-03,true,false,UK,
gina.mathews@yahoo.com,Gina,Mathews,2024-06-15,false,false,ES,
amy.ray@hotmail.com,Amy,Ray,2024-10-12,false,false,ES,
samantha.vega@gmail.com,Samantha,Vega,2025-01-31,true,true,ES,
vanessa.patterson@gmail.com,Vanessa,Patterson,2024-11-05,true,true,UK,
sabrina.brown@gmail.com,Sabrina,Brown,2024-12-02,true,true,ES,
michael.vazquez@yahoo.com,Michael,Vazquez,2025-02-21,false,false,ES,
barbara.schwartz@hotmail.com,Barbara,Schwartz,2024-12-08,false,false,ES,
molly.porter@gmail.com,Molly,Porter,2024-07-22,false,false,ES,
jason.ellis@yahoo.com,Jason,Ellis,2024-07-01,true,true,ES,
robert.fletcher@gmail.com,Robert,Fletcher,2024-10-16,false,false,UK,
patricia.martin@hotmail.com,Patricia,Martin,2024-08-31,false,false,ES,
vickie.jones@hotmail.com,Vickie,Jones,2024-06-26,false,false,ES,
brittany.yang@yahoo.com,Brittany,Yang,2024-11-15,true,false,ES,
timothy.jacobs@hotmail.com,Timothy,Jacobs,2025-01-01,true,true,UK,
linda.baxter@yahoo.com,Linda,Baxter,2025-01-29,true,false,ES,
michael.rivera@gmail.com,Michael,Rivera,2025-03-29,true,false,ES,
monica.conway@hotmail.com,Monica,Conway,2025-04-25,false,false,ES,
javier.hardin@yahoo.com,Javier,Hardin,2024-06-01,false,false,ES,
